"go_boost","go","wp","posteam","pass","rush","play_type","epa","two_point_conv_result","down","ydstogo"
NA,100,0.520599246025085,"TEN",1,0,"pass",0.0324123562313616,NA,2,13
-2.59154101361828,0,0.461706966161728,"TEN",0,0,"punt",-0.345292647834867,NA,4,10
NA,100,0.580619990825653,"ARI",1,0,"pass",2.18201484833844,NA,2,17
NA,NA,0.612074553966522,"ARI",0,0,"no_play",-0.653621018631384,NA,2,9
NA,100,0.59062534570694,"ARI",0,1,"no_play",-0.714383847196586,NA,2,14
NA,100,0.585753619670868,"ARI",1,0,"pass",-0.214038721635006,NA,2,24
-5.37948809965446,0,0.534844815731049,"ARI",0,0,"field_goal",0.247892367676948,NA,4,16
NA,100,0.403344303369522,"TEN",1,0,"pass",-6.69635983917397,NA,2,11
NA,100,0.643122315406799,"ARI",1,0,"pass",-0.881277125386987,NA,2,5
NA,100,0.257702708244324,"TEN",0,1,"run",-1.82209791359492,NA,2,8
-2.74818341058187,0,0.207176506519318,"TEN",0,0,"punt",0.449995463248342,NA,4,16
NA,100,0.763111591339111,"ARI",1,0,"pass",-0.376883017132059,NA,2,6
0.516514573838023,0,0.733671545982361,"ARI",0,0,"punt",-0.576709021814167,NA,4,3
NA,100,0.247996240854263,"TEN",1,0,"pass",-0.472422538325191,NA,2,16
0.888451292730214,100,0.22739540040493,"TEN",1,0,"pass",3.06227189977653,NA,4,4
NA,100,0.236818671226501,"TEN",0,1,"run",-0.55704533145763,NA,2,11
-3.04513451576889,0,0.184392184019089,"TEN",0,0,"punt",0.00646415469236672,NA,4,17
NA,100,0.72627067565918,"ARI",1,0,"pass",0.790850034216419,NA,2,12
NA,100,0.784355044364929,"ARI",0,1,"run",1.08455537760165,NA,2,7
NA,100,0.794498383998871,"ARI",0,1,"run",0.890034197596833,NA,2,7
NA,100,0.824946403503418,"ARI",1,0,"pass",2.45453682047082,NA,2,5
NA,100,0.108767613768578,"TEN",1,0,"pass",1.18924859096296,NA,2,10
NA,100,0.116980656981468,"TEN",1,0,"pass",1.15996890887618,NA,2,8
NA,100,0.157798111438751,"TEN",1,0,"pass",-0.717187921167351,NA,2,10
NA,100,0.187952429056168,"TEN",0,1,"run",-0.462451904430054,NA,2,1
NA,100,0.82477068901062,"ARI",1,0,"pass",-0.6194323298987,NA,2,10
NA,100,0.855083644390106,"ARI",1,0,"run",0.901703128765803,NA,2,6
NA,100,0.856485486030579,"ARI",1,0,"pass",-0.220213221968152,NA,2,10
NA,100,0.884254813194275,"ARI",1,0,"pass",1.22538535148487,NA,2,10
NA,100,0.904073596000671,"ARI",0,1,"run",1.36887358312379,NA,2,2
NA,100,0.118400923907757,"TEN",1,0,"run",0.963349776167888,NA,2,1
NA,100,0.134321913123131,"TEN",1,0,"pass",0.212725479068467,NA,2,1
NA,100,0.124507762491703,"TEN",1,0,"no_play",0.251100003079046,NA,2,6
NA,100,0.140538766980171,"TEN",1,0,"pass",-0.204264051979408,NA,2,1
2.9709417528577,0,0.100986406207085,"TEN",0,0,"field_goal",-2.35632716060394,NA,4,1
NA,100,0.945417284965515,"ARI",1,0,"pass",-0.213267259707209,NA,2,10
NA,100,0.916951835155487,"ARI",1,0,"pass",-0.373123672325164,NA,2,6
NA,100,0.874005794525146,"ARI",1,0,"pass",1.24452636879869,NA,2,7
NA,100,0.900409042835236,"ARI",1,0,"pass",-0.812203704728745,NA,2,3
NA,100,0.069525271654129,"TEN",0,1,"run",-0.728242775890976,NA,2,6
NA,100,0.953198671340942,"ARI",1,0,"pass",-0.951406954554841,NA,2,10
-2.28247790532308,0,0.935019433498383,"ARI",0,0,"punt",0.79093567840755,NA,4,17
NA,100,0.0693533271551132,"TEN",0,1,"run",0.850098317489028,NA,2,6
NA,100,0.0686011388897896,"TEN",0,1,"run",-0.93719335552305,NA,2,7
NA,100,0.978473842144012,"ARI",0,1,"run",-0.42664275720017,NA,2,6
NA,100,0.00636704824864864,"TEN",0,1,"run",-0.294511612504721,NA,2,10
NA,100,0.00605685310438275,"TEN",1,0,"pass",-0.813409525202587,NA,2,3
NA,100,0.0049227187409997,"TEN",1,0,"pass",-0.824896124424413,NA,2,10
0.15160831959807,100,0.00295056705363095,"TEN",1,0,"pass",-3.14472183282487,NA,4,10
NA,100,0.999025940895081,"ARI",0,1,"run",-0.431564465397969,NA,2,4
NA,100,0.999526262283325,"ARI",0,1,"run",-0.318950531305745,NA,2,7
-0.00579448041102548,0,0.999675273895264,"ARI",0,0,"field_goal",-3.78530705500977,NA,4,4
NA,100,0.001275006798096,"TEN",1,0,"pass",0.525861160829663,NA,2,2
NA,100,0.00130054296460003,"TEN",1,0,"pass",-2.55636485596187,NA,2,2
0.0378708989788765,100,0.000814519531559199,"TEN",1,0,"pass",-2.13746513845399,NA,4,5
NA,100,0.999679923057556,"ARI",1,0,"pass",0.95641546882689,NA,2,8
NA,0,0.999739468097687,"ARI",0,0,"no_play",-0.785494923242368,NA,2,4
NA,100,0.99970680475235,"ARI",0,1,"run",0.798606724245474,NA,2,9
NA,100,0.999734222888947,"ARI",0,1,"run",-0.198507190099917,NA,2,9
0.00183938908513426,0,0.999699592590332,"ARI",0,0,NA,0,NA,4,7
0.00183938908513426,0,0.999699592590332,"ARI",0,0,"punt",-0.748758738918696,NA,4,7
NA,100,0.000337510427925736,"TEN",0,1,"run",-0.0648521250113845,NA,2,2
NA,100,0.52802985906601,"LV",1,0,"pass",0.948785207699984,NA,2,10
NA,100,0.610054492950439,"LV",1,0,"run",-0.450084869749844,NA,2,11
NA,100,0.624753177165985,"LV",1,0,"pass",-0.658749654889107,NA,2,17
-3.51105189141346,0,0.517477691173553,"LV",0,0,"punt",-0.374630584614351,NA,4,32
NA,100,0.46529033780098,"BAL",1,0,"run",1.72169680241495,NA,2,7
NA,100,0.485149711370468,"BAL",1,0,"run",-0.428318189457059,NA,2,8
NA,100,0.503655791282654,"BAL",0,1,"run",-0.828883534763008,NA,2,15
-4.2987604620361,0,0.451626390218735,"BAL",0,0,"punt",-0.0249822637997568,NA,4,19
NA,100,0.530877828598022,"LV",1,0,"pass",-0.804608157370239,NA,2,10
-2.77973684986452,0,0.464549273252487,"LV",0,0,"punt",-0.0508838314563036,NA,4,10
NA,100,0.506210505962372,"BAL",1,0,"pass",1.99062012229115,NA,2,10
