"go_boost","go","wp","posteam","pass","rush","play_type","epa","two_point_conv_result","down","ydstogo"
NA,100,0.398192584514618,"ATL",0,1,"run",-0.53891418594867,NA,2,18
1.98258821886064,0,0.397763848304749,"ATL",0,0,"punt",-4.03429887734819,NA,4,2
NA,100,0.704006135463715,"MIN",1,0,"pass",2.78537683188915,NA,2,12
NA,100,0.230618208646774,"ATL",0,1,"run",-0.474208434578031,NA,2,6
NA,100,0.840225517749786,"MIN",0,1,"run",1.91341063694563,NA,2,9
NA,100,0.855596363544464,"MIN",0,1,"run",2.43927328730933,NA,2,10
NA,100,0.122451759874821,"ATL",1,0,"pass",-0.297914740629494,NA,2,8
NA,100,0.126586601138115,"ATL",1,0,"pass",-0.252091981004924,NA,2,10
NA,100,0.131995752453804,"ATL",1,0,"pass",2.35859637020621,NA,2,11
NA,100,0.14375114440918,"ATL",1,0,"pass",-0.978333767969161,NA,2,11
NA,100,0.130494147539139,"ATL",1,0,"pass",-0.92957942164503,NA,2,19
-0.973508437982254,0,0.104975536465645,"ATL",0,0,"punt",-0.0226310468278825,NA,4,19
NA,100,0.895789086818695,"MIN",1,0,"pass",0.40887492033653,NA,2,7
NA,100,0.900135278701782,"MIN",0,1,"run",-1.01474395161495,NA,2,24
-1.24327578516257,0,0.877501666545868,"MIN",0,0,"punt",-0.398994978517294,NA,4,20
NA,100,0.891849219799042,"MIN",0,1,"run",-0.762342918198556,NA,2,9
NA,100,0.910680711269379,"MIN",0,1,"run",-0.536888388451189,NA,2,10
NA,100,0.928620338439941,"MIN",0,1,"run",1.45800117554609,NA,2,4
NA,100,0.951624155044556,"MIN",0,1,"run",0.803442750184331,NA,2,1
NA,100,0.0628262162208557,"ATL",0,1,"run",-0.0518389461212792,NA,2,1
NA,100,0.0571816861629486,"ATL",1,0,"pass",-0.0390477190958336,NA,2,10
-0.516159542236993,0,0.0426503643393517,"ATL",0,0,"punt",-0.353418826940469,NA,4,27
NA,100,0.943756282329559,"MIN",0,1,"run",-0.468229099875316,NA,2,8
-1.12177534769192,0,0.913176000118256,"MIN",0,0,"punt",-0.635537767549977,NA,4,10
NA,100,0.05192906036973,"ATL",1,0,"pass",-0.00844646518817171,NA,2,10
NA,100,0.963942587375641,"MIN",1,0,"pass",-0.890816431492567,NA,2,7
NA,100,0.971720457077026,"MIN",0,1,"run",0.220776198897511,NA,2,8
0.331096498229044,0,0.969748675823212,"MIN",0,0,"punt",-1.16577412001789,NA,4,1
NA,100,0.048048809170723,"ATL",0,1,"run",0.289107569027692,NA,2,1
NA,100,0.0487173832952976,"ATL",0,1,"run",-0.237721224781126,NA,2,5
NA,100,0.038725633174181,"ATL",1,0,"pass",1.36205684812739,NA,2,8
NA,100,0.0428019091486931,"ATL",0,1,"run",-0.442631752230227,NA,2,6
NA,100,0.0322564095258713,"ATL",1,0,"pass",0.507534026633948,NA,2,15
NA,100,0.0385466851294041,"ATL",1,0,"pass",-7.0685855675838,NA,2,3
NA,100,0.990145981311798,"MIN",0,1,"run",-0.206943827681243,NA,2,2
NA,100,0.000736744026653469,"ATL",1,0,"pass",-0.844990018755198,NA,2,10
-0.000488813341028075,0,0.000532862788531929,"ATL",0,0,"punt",0.28018005983904,NA,4,10
NA,100,0.999802052974701,"MIN",0,1,"run",-1.12366521521471,NA,2,6
0.00128857267087668,0,0.999846339225769,"MIN",0,0,"punt",-0.918379512615502,NA,4,6
NA,100,0.000109810578578617,"ATL",0,1,"run",1.13835325615946,NA,2,7
NA,100,8.75443874974735e-05,"ATL",1,0,"pass",-0.16529954993166,NA,2,10
0.00918643816572657,100,0.00011303791688988,"ATL",1,0,"pass",4.51513919030549,NA,4,5
NA,100,0.999800145626068,"MIN",0,1,"run",0.870283155702055,NA,2,8
NA,100,0.999620199203491,"MIN",0,1,"run",-0.789851247798651,NA,2,10
0.00477377912609933,0,0.999639749526978,"MIN",0,0,"no_play",-0.637765865540132,NA,4,2
-0.00231078721003586,0,0.99940299987793,"MIN",0,0,"punt",-1.13343240483664,NA,4,7
NA,100,0.000329019356286153,"ATL",1,0,"pass",0.881644730689004,NA,2,8
NA,100,0.000442377000581473,"ATL",1,0,"pass",-0.655768955359235,NA,2,3
NA,100,0.000328125053783879,"ATL",1,0,"pass",0.221635846828576,NA,2,10
NA,100,0.000405568367568776,"ATL",1,0,"pass",-1.44592151558027,NA,2,4
0.0123219067376871,100,0.0003786678717006,"ATL",1,0,"pass",1.92190331290476,NA,4,2
NA,0,0.999627232551575,"MIN",0,0,"qb_kneel",-1.55721953243483,NA,2,11
NA,100,0.525390028953552,"BAL",0,1,"run",0.847474225913174,NA,2,3
NA,100,0.547078132629395,"BAL",0,1,"run",1.39304986409843,NA,2,7
NA,100,0.596374988555908,"BAL",0,1,"run",-0.0253125909948722,NA,2,2
NA,100,0.368434935808182,"MIA",1,0,"pass",1.50045787775889,NA,2,10
NA,100,0.399865537881851,"MIA",1,0,"pass",-4.63479224964976,NA,2,6
NA,100,0.197213277220726,"MIA",1,0,"pass",1.4261733405292,NA,2,10
NA,100,0.212503924965858,"MIA",0,1,"run",-1.79326120298356,NA,2,9
-0.597618008573048,0,0.165724292397499,"MIA",0,0,"punt",1.02653205185197,NA,4,16
NA,100,0.77775764465332,"BAL",0,1,"run",-0.272710364777595,NA,2,6
NA,100,0.131190493702888,"MIA",1,0,"pass",2.70940752071328,NA,2,13
NA,100,0.17295615375042,"MIA",1,0,"pass",-0.885224295314401,NA,2,5
-0.0663992983142191,0,0.139363914728165,"MIA",0,0,"punt",-0.497190851718187,NA,4,5
NA,100,0.90046763420105,"BAL",1,0,"pass",1.22918687644415,NA,2,7
NA,100,0.910828232765198,"BAL",1,0,"pass",1.13386171404272,NA,2,5
NA,100,0.919195473194122,"BAL",1,0,"pass",3.72749127238058,NA,2,8
NA,100,0.00514658633619547,"MIA",1,0,"pass",4.04469513823278,NA,2,11
NA,100,0.00698620779439807,"MIA",1,0,"pass",-1.09174151858315,NA,2,11
-0.0120973679319577,0,0.00520897237583995,"MIA",0,0,"field_goal",2.25840929869608,NA,4,19
NA,100,0.992142677307129,"BAL",0,1,"run",1.04812906170264,NA,2,11
0.252136122609525,0,0.989485502243042,"BAL",0,0,"punt",5.17470600520028,NA,4,1
NA,100,0.992644309997559,"BAL",1,0,"pass",-0.431383863673545,NA,2,8
NA,100,0.00655088247731328,"MIA",1,0,"run",0.107390745310113,NA,2,1
NA,100,0.00471612811088562,"MIA",1,0,"pass",-0.599699991988018,NA,2,10
-0.0224495461179071,0,0.00397680420428514,"MIA",0,0,"punt",0.492982564494014,NA,4,10
