"go_boost","go","wp","posteam","pass","rush","play_type","epa","two_point_conv_result","down","ydstogo"
NA,100,0.420756042003632,"ATL",0,1,"run",1.00572241470218,NA,2,5
NA,100,0.496638059616089,"ATL",1,0,"pass",-0.877923670224845,NA,2,10
NA,100,0.608188271522522,"ATL",0,1,"run",-0.450063721160404,NA,2,1
6.88728024248588,100,0.544648110866547,"ATL",0,1,"run",-4.2497069502715,NA,4,1
NA,100,0.581097900867462,"PHI",1,0,"pass",-0.245428494177759,NA,2,8
-1.5978139496357,0,0.493392258882523,"PHI",0,0,"punt",-0.758654222590849,NA,4,4
NA,100,0.461846560239792,"ATL",0,1,"run",-0.207108861068264,NA,2,10
NA,100,0.505402147769928,"ATL",1,0,"pass",2.45346239081118,NA,2,13
NA,100,0.58166366815567,"ATL",1,0,"pass",-0.844868934887927,NA,2,7
0.0976610766013741,0,0.547777533531189,"ATL",0,0,"field_goal",0.0359163712352313,NA,4,3
NA,100,0.509649693965912,"PHI",0,1,"no_play",0.683586233761162,NA,2,9
NA,100,0.532983779907227,"PHI",1,0,"pass",0.518182543804869,NA,2,4
NA,100,0.514345109462738,"PHI",0,1,"run",-0.958988837432116,NA,2,17
-4.94046463451414,0,0.467217713594437,"PHI",0,0,"punt",0.410947852768004,NA,4,18
NA,100,0.525207161903381,"ATL",0,1,"run",-1.24453370412812,NA,2,10
-7.5216237116843,0,0.438358187675476,"ATL",0,0,"punt",0.513405651552603,NA,4,19
NA,100,0.511421918869019,"PHI",0,1,"run",-0.547611626097932,NA,2,9
NA,100,0.57403564453125,"PHI",1,0,"pass",0.783753435476683,NA,2,4
NA,100,0.630899131298065,"PHI",0,1,"run",-0.371499730972573,NA,2,2
NA,100,0.607710182666779,"PHI",1,0,"pass",-0.435824209009297,NA,2,10
NA,100,0.60130912065506,"PHI",0,1,"run",-0.483903727377765,NA,2,19
-2.11201743057325,0,0.559412956237793,"PHI",0,0,"field_goal",0.0861138669716413,NA,4,8
NA,100,0.425517350435257,"ATL",1,0,"pass",2.01405028230511,NA,2,8
NA,100,0.477554738521576,"ATL",1,0,"pass",1.86797979066614,NA,2,9
NA,100,0.549933731555939,"ATL",1,0,"pass",-0.495343130605761,NA,2,8
-5.94443034940348,0,0.434975385665894,"ATL",0,0,"field_goal",1.88962623413598,NA,4,17
NA,100,0.432556241750717,"PHI",1,0,"pass",1.01081990986131,NA,2,10
NA,100,0.522790551185608,"PHI",1,0,"pass",-0.432023268425837,NA,2,3
0.350381121849824,0,0.459624260663986,"PHI",0,0,"no_play",-0.223462567199022,NA,4,3
-2.22667244604982,0,0.414388537406921,"PHI",0,0,"punt",0.194999737082981,NA,4,8
NA,100,0.545978903770447,"ATL",1,0,"pass",-0.165881355758756,NA,2,10
-2.97602133900376,0,0.512025892734528,"ATL",0,0,"no_play",-0.164324922836386,NA,4,3
-5.93161507620418,0,0.492977172136307,"ATL",0,0,"punt",0.345005558338016,NA,4,8
NA,100,0.479842364788055,"PHI",1,0,"pass",-0.0361067925696261,NA,2,5
-1.1526737291092,0,0.431875705718994,"PHI",0,0,"no_play",0.048296180262696,NA,4,1
NA,100,0.485808223485947,"PHI",0,1,"run",0.191535113845021,NA,2,2
