"go_boost","go","wp","posteam","pass","rush","play_type","epa","two_point_conv_result","down","ydstogo"
NA,100,0.539620935916901,"WAS",1,0,"pass",0.703307623974979,NA,2,7
NA,100,0.554536581039429,"WAS",1,0,"pass",1.17315451358445,NA,2,10
NA,100,0.566531538963318,"WAS",1,0,"pass",-0.87200544285588,NA,2,9
-0.341207619507555,0,0.496159702539444,"WAS",0,0,"punt",-0.415889590745792,NA,4,7
NA,100,0.465196311473846,"ARI",0,1,"run",-0.0694337817840278,NA,2,11
NA,100,0.480152130126953,"ARI",1,0,"pass",-1.21558102732524,NA,2,10
-2.03591306242947,0,0.432812541723251,"ARI",0,0,"punt",1.07552977069281,NA,4,8
NA,100,0.546093106269836,"WAS",0,1,"run",0.0430727088823915,NA,2,4
NA,100,0.561314344406128,"WAS",1,0,"no_play",2.96208176517393,NA,2,11
NA,100,0.67795342206955,"WAS",1,0,"pass",1.59067662863526,NA,2,4
NA,100,0.290494561195374,"ARI",0,1,"run",2.1730704207439,NA,2,6
NA,100,0.314306139945984,"ARI",1,0,"pass",2.80970178783173,NA,2,11
NA,100,0.369587421417236,"ARI",0,1,"run",-0.74743812601082,NA,2,10
-2.57751482222603,0,0.313075959682465,"ARI",0,0,"field_goal",0.125728348442017,NA,4,9
NA,100,0.627768993377686,"WAS",1,0,"no_play",-0.877189756371081,NA,2,11
NA,100,0.616056561470032,"WAS",1,0,"no_play",2.12112039374188,NA,2,21
NA,100,0.456185847520828,"ARI",0,1,"run",-1.22738230286632,NA,2,6
-1.62834087452238,0,0.383763462305069,"ARI",0,0,"field_goal",2.09874809745026,NA,4,9
NA,100,0.601068556308746,"WAS",0,1,"run",0.508856378495693,NA,2,4
NA,100,0.616930186748505,"WAS",0,1,"run",-0.175788225606084,NA,2,5
NA,100,0.646453082561493,"WAS",1,0,"pass",1.49829088413389,NA,2,9
NA,100,0.453498631715775,"ARI",1,0,"no_play",-0.569983668625355,NA,2,8
NA,100,0.43705889582634,"ARI",0,1,"run",0.219965702854097,NA,2,13
-1.95553097983474,0,0.390951752662659,"ARI",0,0,"punt",-0.807139789918438,NA,4,11
NA,100,0.646453082561493,"WAS",1,0,"pass",-0.667900823638774,NA,2,10
-3.11898886600113,0,0.551090478897095,"WAS",0,0,"punt",-0.219016203773208,NA,4,18
NA,100,0.459276705980301,"ARI",1,0,"pass",0.875282471184619,NA,2,6
NA,100,0.482926279306412,"ARI",1,0,"pass",-0.0835179437417537,NA,2,13
-2.62156509630305,0,0.438762068748474,"ARI",0,0,"punt",-0.135614454979077,NA,4,12
NA,100,0.575569808483124,"WAS",1,0,"pass",-0.235681361868046,NA,2,10
NA,100,0.290586799383163,"WAS",1,0,"pass",0.811978054756764,NA,2,10
NA,100,0.278132885694504,"WAS",1,0,"pass",1.90872180025326,NA,2,10
NA,0,0.349308520555496,"WAS",0,0,"field_goal",0.136582872088131,NA,2,10
NA,100,0.611360549926758,"ARI",1,0,"pass",1.10873857187107,NA,2,4
NA,100,0.665095090866089,"ARI",1,0,"pass",-0.862752490676939,NA,2,5
NA,100,0.699913084506989,"ARI",1,0,"pass",-1.10068283881992,NA,2,9
-7.68055041008466,0,0.623882234096527,"ARI",0,0,"field_goal",0.433786638543934,NA,4,11
NA,100,0.317063570022583,"WAS",0,1,"run",0.566247576614842,NA,2,4
NA,100,0.32367941737175,"WAS",0,1,"run",0.716240728739649,NA,2,5
NA,100,0.324523448944092,"WAS",1,0,"pass",-1.69386977562681,NA,2,9
-5.18086049226769,0,0.239770472049713,"WAS",0,0,"punt",0.512100939638913,NA,4,32
NA,0,0.794502019882202,"ARI",0,0,"no_play",-0.5783435550984,NA,2,5
NA,100,0.782520115375519,"ARI",0,1,"run",-0.730722535401583,NA,2,10
-4.21573410198248,0,0.729503273963928,"ARI",0,0,"punt",-0.381457990733907,NA,4,8
NA,100,0.233974888920784,"WAS",1,0,"pass",-0.814800355583429,NA,2,20
-0.0237639688033808,0,0.191643804311752,"WAS",0,0,"punt",-0.58070863969624,NA,4,8
NA,100,0.787061870098114,"ARI",0,1,"run",-1.32849386008456,NA,2,11
NA,100,0.388095140457153,"WAS",0,1,"run",0.883050245640334,NA,2,6
NA,100,0.436340063810349,"WAS",0,1,"run",0.304136559949256,NA,2,3
NA,100,0.422398209571838,"WAS",0,1,"run",-0.653670158586465,NA,2,8
NA,100,0.417273104190826,"ARI",1,0,"pass",-0.981865675188601,NA,2,11
-2.89389325796874,0,0.332242459058762,"ARI",0,0,"punt",0.68717156490311,NA,4,12
NA,100,0.638664305210114,"WAS",0,1,"run",-1.41233342443593,NA,2,8
5.68827494481723,0,0.68609493970871,"WAS",0,0,"punt",-0.628863221500069,NA,4,1
NA,100,0.438771545886993,"ARI",0,1,"run",0.417642029002309,NA,2,10
NA,100,0.408350318670273,"ARI",0,1,"run",0.0139369203243405,NA,2,13
NA,100,0.81517493724823,"WAS",0,1,"run",-0.255010448570829,NA,2,9
-1.70519384544265,0,0.79222160577774,"WAS",0,0,"field_goal",0.258245414442532,NA,4,3
NA,100,0.244695037603378,"ARI",1,0,"no_play",0.706568314810283,NA,2,6
NA,100,0.270900309085846,"ARI",0,1,"run",-0.0954633434303105,NA,2,1
NA,100,0.250361859798431,"ARI",1,0,"pass",-1.19043983961456,NA,2,8
3.61987801778442,100,0.153687730431557,"ARI",1,0,"pass",-2.57158970698947,NA,4,10
NA,100,0.972289800643921,"WAS",0,1,"run",-0.912007832725067,NA,2,8
NA,0,0.964604318141937,"WAS",0,0,"no_play",-0.54060908179963,NA,4,10
NA,0,0.954843640327454,"WAS",0,0,"punt",-0.240546669403557,NA,4,15
NA,100,0.434231877326965,"BUF",1,0,"pass",0.367488254560158,NA,2,3
NA,100,0.441448152065277,"BUF",0,1,"run",-0.530428083613515,NA,2,7
0.697795409338342,0,0.383480072021484,"BUF",0,0,"punt",0.222580103203654,NA,4,5
NA,100,0.625880420207977,"NYJ",1,0,"no_play",0.863731314428151,NA,2,10
NA,100,0.618269503116608,"NYJ",1,0,"pass",-0.583605976775289,NA,2,20
-1.1042957120686,0,0.580257773399353,"NYJ",0,0,"punt",-0.424657138530165,NA,4,7
NA,100,0.413484990596771,"BUF",1,0,"pass",-0.678797159809619,NA,2,10
NA,100,0.443387806415558,"BUF",0,1,"run",1.04148746049032,NA,2,7
NA,100,0.476389437913895,"BUF",1,0,"pass",1.10669999488164,NA,2,4
NA,100,0.493786603212357,"BUF",1,0,"pass",-0.41827339748852,NA,2,19
1.15332866370383,0,0.500743746757507,"BUF",0,0,"field_goal",0.626390073413285,NA,4,2
NA,NA,0.492353111505508,"NYJ",0,0,"no_play",-0.599247053265572,NA,2,10
NA,100,0.484137743711472,"NYJ",1,0,"pass",-0.409326674416661,NA,2,15
NA,100,0.537012815475464,"NYJ",0,1,"run",-1.36508683976717,NA,2,5
-4.880460570839,0,0.455863565206528,"NYJ",0,0,"punt",-0.278614943381399,NA,4,21
NA,100,0.522396147251129,"BUF",1,0,"pass",-0.215346480254084,NA,2,12
NA,100,0.615457475185394,"NYJ",0,1,"run",-0.225045718019828,NA,2,9
-0.664943830998826,0,0.555830478668213,"NYJ",0,0,"field_goal",0.0943509974506975,NA,4,5
NA,100,0.397884249687195,"BUF",1,0,"pass",1.88063899660483,NA,2,15
NA,100,0.44245645403862,"BUF",1,0,"pass",0.448576598893851,NA,2,10
NA,100,0.518985509872437,"BUF",1,0,"pass",2.26623472693609,NA,2,11
NA,100,0.588620603084564,"BUF",0,1,"run",-0.480614974454511,NA,2,7
NA,100,0.345901280641556,"NYJ",0,1,"run",1.15304628270678,NA,2,8
NA,100,0.757793724536896,"BUF",0,1,"run",0.875108211126644,NA,2,4
NA,100,0.79423451423645,"BUF",1,0,"pass",0.00995403615524992,NA,2,4
NA,100,0.785443723201752,"BUF",1,0,"pass",-0.281842457538005,NA,2,13
