"go_boost","go","wp","posteam","pass","rush","play_type","epa","two_point_conv_result","down","ydstogo"
NA,100,0.541974782943726,"BAL",1,0,"pass",0.644539650063962,NA,2,4
NA,100,0.52802985906601,"BAL",1,0,"pass",0.918295091483742,NA,2,10
1.73293934690407,0,0.51027250289917,"BAL",0,0,"no_play",-0.922620789147913,NA,4,1
-1.63196132346428,0,0.471002906560898,"BAL",0,0,"punt",-0.405047618318349,NA,4,6
NA,100,0.500466108322144,"BUF",0,1,"run",-1.58913528127596,NA,2,8
-5.28083190194866,0,0.418961077928543,"BUF",0,0,"punt",0.224180771503597,NA,4,18
NA,100,0.559212207794189,"BAL",1,0,"pass",0.493440892081708,NA,2,7
NA,100,0.566531538963318,"BAL",0,1,"run",-5.12798262690194,NA,2,10
NA,100,0.540693163871765,"BUF",0,1,"run",-1.04350443463773,NA,2,5
2.16252063570653,0,0.474963307380676,"BUF",0,0,"no_play",-0.440463319886476,NA,4,6
-0.597566905329744,0,0.475926876068115,"BUF",0,0,"punt",0.447958144824952,NA,4,11
NA,100,0.520355880260468,"BAL",1,0,"pass",3.05094785359688,NA,2,8
NA,100,0.574494540691376,"BAL",0,1,"run",0.523201834177598,NA,2,5
NA,100,0.63505482673645,"BAL",0,1,"no_play",-1.3586850912543,NA,2,7
NA,100,0.605458915233612,"BAL",1,0,"pass",-0.648729169974104,NA,2,17
-3.70513533907466,0,0.529800474643707,"BAL",0,0,"field_goal",1.79742565081667,NA,4,15
NA,100,0.392191231250763,"BUF",0,1,"run",-0.0454874276183546,NA,2,9
NA,100,0.419910848140717,"BUF",1,0,"pass",-0.382246908266097,NA,2,10
-2.1633546068596,0,0.370586544275284,"BUF",0,0,"punt",0.4804019453004,NA,4,10
NA,100,0.621499598026276,"BAL",0,1,"run",0.835708775557578,NA,2,10
NA,100,0.632133185863495,"BAL",1,0,"pass",0.197618722682819,NA,2,5
NA,100,0.252989441156387,"BUF",1,0,"no_play",-1.41738149779849,NA,2,2
NA,100,0.213233515620232,"BUF",1,0,"pass",0.46063645533286,NA,2,12
NA,100,0.271270006895065,"BUF",0,1,"run",-1.33154023694806,NA,2,10
NA,100,0.30300572514534,"BUF",0,1,"run",-0.462402343429858,NA,2,1
3.95145120014434,100,0.228060469031334,"BUF",0,1,"run",2.85935778316343,NA,4,1
NA,100,0.643046140670776,"BAL",0,1,"run",-0.118653318379074,NA,2,10
NA,100,0.686188876628876,"BAL",0,1,"run",-0.0727747974451631,NA,2,4
NA,100,0.694710552692413,"BAL",1,0,"pass",-0.335040967562236,NA,2,10
NA,100,0.364303559064865,"BUF",0,1,"run",0.590827873442322,NA,2,6
NA,100,0.453599125146866,"BUF",0,1,"run",0.294228370534256,NA,2,6
5.3356879086516,100,0.411698848009109,"BUF",1,0,"run",2.62020996038336,NA,4,1
NA,100,0.487403273582458,"BUF",0,1,"run",-1.43295266281348,NA,2,10
-4.70414942927368,0,0.358248382806778,"BUF",0,0,"field_goal",-3.85520820681719,NA,4,15
NA,100,0.71286016702652,"BAL",0,1,"run",0.308618918759748,NA,2,10
1.16335145703567,0,0.675675094127655,"BAL",0,0,"punt",-1.13695732690394,NA,4,2
NA,100,0.339621365070343,"BUF",1,0,"pass",1.31896464293823,NA,2,10
NA,100,0.392281383275986,"BUF",1,0,"run",-0.0749091957695782,NA,2,6
2.65625294808285,0,0.314419060945511,"BUF",0,0,"punt",0.560674455715343,NA,4,4
NA,100,0.675116896629333,"BAL",1,0,"no_play",1.84402517741546,NA,2,12
NA,100,0.759818255901337,"BAL",1,0,"pass",-1.09739770623855,NA,2,4
5.24322264997223,100,0.724942326545715,"BAL",1,0,"pass",-3.14418007223867,NA,4,1
NA,100,0.35002201795578,"BUF",0,1,"run",-0.690884697251022,NA,2,10
9.13479360277886,0,0.334562301635742,"BUF",0,0,"punt",-1.87923632608727,NA,4,1
NA,100,0.724856376647949,"BAL",0,1,"run",-0.63199222786352,NA,2,10
-8.58631049139461,0,0.630143344402313,"BAL",0,0,"punt",0.46540297800675,NA,4,18
NA,100,0.339122802019119,"BUF",1,0,"pass",-0.745445302454755,NA,2,7
3.06539775595643,0,0.267498582601547,"BUF",0,0,"punt",-0.668159411754459,NA,4,4
NA,100,0.721491575241089,"BAL",1,0,"pass",1.25646263221279,NA,2,10
NA,100,0.781213343143463,"BAL",1,0,"pass",0.783242382109165,NA,2,6
NA,100,0.7950798869133,"BAL",1,0,"pass",2.05313542985823,NA,2,8
NA,100,0.85559344291687,"BAL",1,0,"pass",-0.603032073238865,NA,2,8
-4.53838497765029,0,0.804226458072662,"BAL",0,0,"no_play",2.97309959237464,NA,4,14
NA,100,0.882657468318939,"BAL",0,1,"run",-0.643633933388628,NA,2,10
-4.24900120937667,0,0.846116244792938,"BAL",0,0,"field_goal",0.469195400466934,NA,4,16
